  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1203
  ntimesa = 1203
  detb = 30.6261662733299254
 Z layer 1 =  20.3695

 Z layer 2 =  17.8504

 Z layer 3 =  15.4760

 Z layer 4 =  13.0000

 Z12 =   2.5191

 Z23 =   2.3744

 Z34 =   2.4760

 temp, average ekin =   249.910535      .387655
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
  272   141.9472    .220185   3.09008  -1.20164   8.98629   3.39474  20.32151   2.44593
  273   142.9137    .221684   3.28041  -1.19370   9.00537   3.38125  20.32153   2.44597
  274   143.9438    .223282   3.49780  -1.18400   9.02459   3.36765  20.32156   2.44600
  275   144.9916    .224907   3.73318  -1.17267   9.04396   3.35391  20.32158   2.44604
  276   146.0992    .226625   3.97775  -1.15984   9.06349   3.34004  20.32161   2.44608
  277   147.1696    .228286   4.22349  -1.14564   9.08318   3.32604  20.32163   2.44613
  278   148.2205    .229916   4.46340  -1.13021   9.10304   3.31189  20.32165   2.44617
  279   149.2212    .231468   4.69180  -1.11369   9.12305   3.29762  20.32168   2.44622
  280   150.1491    .232907   4.90439  -1.09621   9.14322   3.28323  20.32170   2.44627
  281   151.0625    .234324   5.09816  -1.07789   9.16353   3.26872  20.32173   2.44631
